Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
360,Glenn Robinson\robingl02,SF,23,IND,48,24,22.2,2.3,5.2,.444,0.7,1.8,.364,1.6,3.4,.488,.508,0.8,1.2,.714,0.9,2.9,3.8,0.7,0.5,0.3,0.6,1.0,6.1
361,Thomas Robinson\robinth01,PF,25,LAL,34,1,11.0,1.7,3.3,.523,0.0,0.0,,1.7,3.3,.523,.523,0.4,1.0,.429,1.7,2.7,4.4,0.7,0.5,0.3,0.7,1.6,3.9
362,Sergio Rodriguez\rodrise01,PG,30,PHI,45,30,23.5,3.3,8.2,.396,1.4,3.9,.358,1.9,4.3,.431,.481,0.3,0.4,.684,0.3,2.2,2.5,5.3,0.8,0.1,2.2,1.4,8.2
363,Rajon Rondo\rondora01,PG,30,CHI,42,29,26.8,2.7,7.5,.363,0.5,1.6,.324,2.2,5.9,.373,.397,0.4,0.7,.567,0.9,4.4,5.3,6.6,1.3,0.2,2.4,2.0,6.4
364,Derrick Rose\rosede01,PG,28,NYK,43,43,32.1,7.2,15.8,.455,0.3,1.2,.250,6.9,14.6,.472,.465,3.2,3.7,.866,1.2,2.7,3.9,4.4,0.7,0.4,2.5,1.5,17.9
365,Terrence Ross\rosste01,SF,25,TOR,50,0,22.6,3.9,9.0,.434,1.8,4.8,.372,2.1,4.1,.507,.535,0.8,1.0,.820,0.2,2.3,2.6,0.8,1.0,0.4,0.6,1.5,10.4
366,Terry Rozier\roziete01,PG,22,BOS,45,0,17.9,2.1,5.6,.384,0.7,2.2,.327,1.4,3.3,.423,.450,0.7,0.9,.738,0.5,2.6,3.1,1.6,0.7,0.2,0.5,1.0,5.7
367,Ricky Rubio\rubiori01,PG,26,MIN,45,45,31.9,2.6,6.8,.384,0.7,2.5,.289,1.9,4.3,.440,.438,2.7,3.1,.871,1.0,2.8,3.8,8.1,1.7,0.1,2.3,2.7,8.7
368,Damjan Rudez\rudezda01,SF,30,ORL,32,0,7.6,0.8,1.9,.387,0.6,1.5,.367,0.2,0.4,.462,.532,0.0,0.0,,0.2,0.6,0.7,0.4,0.3,0.0,0.3,0.8,2.1
369,Brandon Rush\rushbr01,SG,31,MIN,17,3,14.5,1.1,3.0,.373,0.8,1.9,.438,0.3,1.1,.263,.510,0.2,0.2,.750,0.4,1.1,1.5,0.6,0.4,0.5,0.5,0.5,3.2
370,D'Angelo Russell\russeda01,PG,20,LAL,37,37,26.8,5.2,13.2,.395,2.0,5.9,.341,3.2,7.4,.438,.470,2.3,3.1,.754,0.6,3.4,3.9,4.8,1.2,0.3,2.7,2.1,14.8
371,Domantas Sabonis\sabondo01,PF,20,OKC,51,51,21.5,2.5,6.1,.416,0.8,2.3,.339,1.8,3.8,.462,.479,0.4,0.5,.667,0.5,3.2,3.7,1.1,0.5,0.4,1.2,2.5,6.2
372,Dario Saric\saricda01,PF,22,PHI,50,11,24.0,3.5,9.4,.375,1.2,3.7,.324,2.3,5.7,.408,.439,1.6,2.1,.767,1.3,4.5,5.8,1.7,0.6,0.3,2.0,1.7,9.8
373,Tomas Satoransky\satorto01,SG,25,WAS,34,2,14.3,1.3,2.9,.440,0.2,0.7,.240,1.1,2.2,.507,.470,0.5,0.7,.750,0.6,1.2,1.8,1.9,0.5,0.1,0.8,1.3,3.3
374,Dennis Schroder\schrode01,PG,23,ATL,51,51,30.6,6.6,14.5,.458,1.3,3.5,.356,5.4,10.9,.491,.501,2.7,3.3,.825,0.5,2.3,2.8,6.3,0.8,0.2,3.0,1.7,17.2
375,Luis Scola\scolalu01,PF,36,BRK,35,1,12.7,2.0,4.3,.477,0.5,1.4,.354,1.5,2.9,.535,.534,0.7,1.1,.676,1.4,2.4,3.9,0.9,0.4,0.1,1.0,1.7,5.3
376,Mike Scott\scottmi01,PF,28,ATL,16,0,10.7,0.9,3.4,.273,0.3,1.7,.148,0.7,1.8,.393,.309,0.4,0.5,.875,0.6,1.6,2.1,0.9,0.3,0.2,0.4,0.8,2.6
377,Thabo Sefolosha\sefolth01,SF,32,ATL,44,29,25.8,3.0,6.6,.457,0.6,1.8,.329,2.4,4.8,.505,.502,1.0,1.3,.772,0.8,3.5,4.3,1.6,1.7,0.5,0.9,1.5,7.6
378,Kevin Seraphin\serapke01,PF,27,IND,27,0,10.3,1.9,3.6,.531,0.0,0.0,,1.9,3.6,.531,.531,0.1,0.2,.667,1.0,2.2,3.2,0.6,0.1,0.3,0.5,1.1,3.9
379,Ramon Sessions\sessira01,PG,30,CHO,50,1,16.2,2.0,5.3,.380,0.4,1.2,.339,1.6,4.0,.393,.420,1.8,2.4,.771,0.2,1.2,1.5,2.6,0.5,0.1,0.9,0.9,6.2
380,Iman Shumpert\shumpim01,SG,26,CLE,48,12,25.5,2.7,6.3,.431,1.5,3.6,.405,1.3,2.7,.466,.546,1.1,1.4,.773,0.6,2.5,3.1,1.6,1.0,0.3,1.0,1.9,8.0
381,Pascal Siakam\siakapa01,PF,22,TOR,44,35,16.8,2.0,4.0,.509,0.0,0.1,.000,2.0,3.9,.520,.509,0.4,0.6,.731,1.3,2.2,3.4,0.3,0.5,0.9,0.6,2.1,4.5
382,Jonathon Simmons\simmojo02,SG,27,SAS,47,1,18.3,2.4,5.4,.445,0.4,1.2,.333,2.0,4.2,.477,.482,1.4,2.0,.739,0.3,2.0,2.3,1.7,0.7,0.4,1.0,1.9,6.7
383,Kyle Singler\singlky01,SF,28,OKC,26,0,10.2,0.8,2.0,.385,0.2,1.0,.231,0.5,1.0,.538,.442,0.3,0.3,.875,0.1,1.0,1.1,0.2,0.1,0.1,0.4,0.8,2.0
384,Marcus Smart\smartma01,PG,22,BOS,47,17,30.7,3.3,9.3,.355,1.2,4.0,.306,2.1,5.3,.390,.420,2.1,2.7,.773,1.0,2.9,3.9,4.7,1.6,0.4,2.0,2.2,9.9
385,Ish Smith\smithis01,PG,28,DET,50,21,23.8,3.5,8.2,.433,0.3,1.3,.238,3.2,6.9,.468,.451,0.8,1.1,.679,0.3,2.4,2.6,4.9,0.7,0.3,1.4,1.6,8.1
386,J.R. Smith\smithjr01,SG,31,CLE,21,21,28.9,3.0,8.8,.337,2.4,6.6,.362,0.6,2.2,.261,.473,0.3,0.4,.778,0.4,1.8,2.1,1.2,1.2,0.4,0.7,2.2,8.6
