"","Team.Game","Player.Game","Date","Age","Tm","Where","Opp","Result","PointDiff","GS","MP","FG","FGA","FG.percent","3PM","3PA","3P.percent","FT","FTA","FT.percent","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Plus.Minus","Playername"
"42",42,42,"2017-01-15","28-064","OKC","Away","SAC","W ",4,1,"35:58",11,21,0.524,4,5,0.8,10,11,0.909,2,9,11,10,4,0,7,1,36,33,-1,"westbrook"
"43",43,43,"2017-01-16","28-065","OKC","Away","LAC","L ",-22,1,"29:17",7,19,0.368,2,7,0.286,8,9,0.889,1,4,5,4,2,0,4,2,24,15,-20,"westbrook"
"44",44,44,"2017-01-18","28-067","OKC","Away","GSW","L ",-21,1,"35:14",8,23,0.348,1,6,0.167,10,11,0.909,4,11,15,13,2,2,10,5,27,20.3,-19,"westbrook"
"45",45,45,"2017-01-23","28-072","OKC","Away","UTA","W ",2,1,"36:14",11,29,0.379,3,7,0.429,13,17,0.765,1,10,11,10,4,1,6,3,38,28.7,4,"westbrook"
"46",46,46,"2017-01-25","28-074","OKC","Away","NOP","W ",9,1,"35:40",7,22,0.318,4,9,0.444,9,12,0.75,1,11,12,10,1,1,8,3,27,16.7,-1,"westbrook"
"47",47,47,"2017-01-26","28-075","OKC","Home","DAL","W ",11,1,"35:10",16,29,0.552,4,8,0.5,9,11,0.818,1,7,8,3,2,0,4,2,45,32.4,19,"westbrook"
"48",48,48,"2017-01-29","28-078","OKC","Away","CLE","L ",-16,1,"36:22",7,26,0.269,1,6,0.167,5,8,0.625,5,7,12,10,1,1,4,3,20,12.5,-19,"westbrook"
"49",49,49,"2017-01-31","28-080","OKC","Away","SAS","L ",-14,1,"33:44",7,17,0.412,3,7,0.429,10,10,1,1,5,6,14,1,0,6,4,27,23.3,8,"westbrook"
"50",50,50,"2017-02-01","28-081","OKC","Home","CHI","L ",-28,1,"29:25",10,23,0.435,2,7,0.286,6,8,0.75,1,4,5,8,2,1,3,1,28,21.9,-23,"westbrook"
"51",51,51,"2017-02-03","28-083","OKC","Home","MEM","W ",12,1,"37:39",8,20,0.4,5,7,0.714,17,17,1,2,11,13,12,3,0,5,2,38,37.5,17,"westbrook"
"52",52,52,"2017-02-05","28-085","OKC","Home","POR","W ",6,1,"35:10",16,34,0.471,1,6,0.167,9,11,0.818,1,3,4,8,0,0,4,3,42,25.8,7,"westbrook"
"53",53,53,"2017-02-06","28-086","OKC","Away","IND","L ",-3,1,"37:07",10,27,0.37,4,10,0.4,3,4,0.75,2,16,18,9,1,2,4,3,27,21.4,1,"westbrook"
"54",54,54,"2017-02-09","28-089","OKC","Home","CLE","W ",9,1,"35:23",11,27,0.407,2,6,0.333,5,5,1,1,11,12,11,4,0,7,4,29,21.6,3,"westbrook"
"55",55,55,"2017-02-11","28-091","OKC","Home","GSW","L ",-16,1,"37:09",14,26,0.538,3,10,0.3,16,18,0.889,1,10,11,8,1,0,11,5,47,30.9,-13,"westbrook"
"56",56,56,"2017-02-13","28-093","OKC","Away","WAS","L ",-22,1,"24:12",5,19,0.263,0,4,0,7,7,1,2,2,4,4,2,0,2,0,17,10.5,-36,"westbrook"
"57",57,57,"2017-02-15","28-095","OKC","Home","NYK","W ",11,1,"37:44",13,22,0.591,3,5,0.6,9,13,0.692,3,11,14,12,3,1,6,0,38,37.7,13,"westbrook"
"58",58,58,"2017-02-24","28-104","OKC","Home","LAL","W ",17,1,"35:16",4,18,0.222,1,5,0.2,8,9,0.889,2,16,18,17,3,0,6,1,17,20.3,19,"westbrook"
"59",59,59,"2017-02-26","28-106","OKC","Home","NOP","W ",8,1,"36:53",14,29,0.483,2,8,0.25,11,12,0.917,2,9,11,11,1,0,9,2,41,28.9,4,"westbrook"
"60",60,60,"2017-02-28","28-108","OKC","Home","UTA","W ",3,1,"38:47",13,28,0.464,6,9,0.667,11,12,0.917,0,11,11,10,0,0,8,1,43,30.1,10,"westbrook"
"61",61,61,"2017-03-02","28-110","OKC","Away","POR","L ",-5,1,"36:52",12,36,0.333,6,16,0.375,15,15,1,2,5,7,4,1,1,4,0,45,28,-7,"westbrook"
"62",62,62,"2017-03-03","28-111","OKC","Away","PHO","L ",-7,1,"38:05",14,30,0.467,3,12,0.25,17,18,0.944,1,16,17,9,3,0,4,4,48,41.4,10,"westbrook"
